Command and Control (c2) servers	used to issue commands to hacked computers	
Total # of ports?	65000	
Physical layers can only really make ______ hops; like Ethernet, they move data between _______ systems	Single; two	
CFAA key concepts, 18 USC S.1030	"Access without authorization, exceeding authorized access<div>Eight subsections:</div><div>(a) 7 specific prohibitions</div><div>(b) attempt and conspiracy,&nbsp;</div><div>(c) sentences for criminal violations</div><div>(d) Investigatory authority for secret service &amp; fbi</div><div>(e) definitions</div><div>-""protected computer"":</div><div>1: financial/federal govt computer</div><div>2: ""used in or affecting interstate or foreign commerce or communication""</div><div>3: ""is part of a voting system""</div><div>(f) Exemption for law enforcement &amp; intelligence activities&nbsp;</div><div>(g) Private right of action; negligence exemption</div><div>-Victims can claim damage or loss and can die with two year statute of limitations</div><div>-Can’t sue for negligent design or manufacture of soft/hard/firmware</div><div>(h) Reporting to congress has now expired</div><div>(i &amp; j) Forfeiture Provisions</div><div>Damage: impairment to the integrity or availability of data, a program/system</div><div>Loss: any reasonable cost to any victim, incl cost of incident response</div><div>Offenses:&nbsp;</div><div>A1. Espionage, trespass, theft on government computers</div><div>A2. Trespass, theft from financial/governmental/“protected” institutions</div><div>A3. Trespass on federal govt computer systems</div><div>A4. Fraud schemes facilitated by computer</div><div>A5. Causing damage</div><div>1: knowingly/intentionally transmits damaging info</div><div>2: intentionally accesses w/o auth; recklessly causes damage</div><div>3: intentionally accesses a protected computer without auth, causes damage/loss</div><div>A6. Password trafficking</div><div>A7. Extortion/ransom ware</div><div><br></div>"	
6 tiers of geopolitical cyber power	"<br><div>&nbsp; &nbsp; &nbsp; &nbsp;D. VI States with the ability to successfully execute full spectrum (cyber capabilities in combination with all of their military and<span style=""color: var(--field-fg); font-family: -apple-system-body; background: var(--field-bg);"">&nbsp;intelligence capabilities) operations to achieve a specific outcome in political, military, economic, etc. domains and apply at scale.&nbsp;</span></div><div>&nbsp; &nbsp; &nbsp; &nbsp;F. V State actors who create vulnerabilities through an active program to “influence” commercial products and services during design, development or manufacturing, or with the ability to impact products while in the supply chain to enable exploitation of networks and systems of interest.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;G. IV Criminal or state actors who are organized, highly technical, proficient, well funded professionals working in teams to discover new vulnerabilities and develop exploits.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;H. III Practitioners who focus on the discovery and use of unknown malicious code, are adept at installing user and kernel mode root kits10, frequently use data mining tools, target corporate executives and key users (government and industry) for the purpose of stealing personal and corporate data with the expressed purpose of selling the information to other criminal elements.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;I. II Practitioners with a greater depth of experience, with the ability to develop their own tools (from publically known vulnerabilities).</div><div>&nbsp; &nbsp; &nbsp; &nbsp;J. I Practitioners who rely on others to develop the malicious code, delivery mechanisms, and execution strategy (use known exploits)</div><div><br></div>"	
First Worm; First felony CFAA conviction	Morris Worm 1988<div>Spread via Internet</div><div>Grad student trying to measure size of Internet triggered a mass DoS&nbsp;</div><div>At least 100k in damage ($247k in 2020)</div><div>Led to Changes in CFAA a(5)</div><div>infected 3-10% of all internet-connected computers at the tiime</div>	law precedent
HTTP request chronology	Establish server client connection<div>HTTP initial request</div><div>After IP data packaged in Internet level, router sends to client</div><div>Server checks request data, in order, before sending to client:</div><div>Frame data</div><div>IP data</div><div>Port data</div><div>Then flops source &amp; destination port, source &amp; destination IP addresses switched</div><div>The router</div>	
TCP	Transmission Control Protocol<div>-defines how to establish and maintain a network conversation for applications to exchange data<br><div>-originated in the initial network implementation in which it complemented the Internet protocol, completing the TCP/IP suite.</div></div>	
Wireshark Interface	"<ul> <li>The <strong>No.</strong>&nbsp;and <strong>Time</strong> columns show the order and relative time in which the packets were sent</li> <li>The <strong>Source</strong> and <strong>Destination</strong> columns show the source IP address and destination IP address of each packet</li> <li>The&nbsp;<strong>Protocol&nbsp;</strong>column shows which protocol each  packet belongs to. You're already familiar with DNS and TCP. SMTP is an  application layer protocol (like HTTP or HTTPS) that is a standard for  email.&nbsp;</li> <li>The&nbsp;<strong>Length</strong> column is the size of the packet in bytes.</li> <li>The&nbsp;<strong>Info</strong> column does its best to show you the important information from the packet.&nbsp;</li></ul>"	
netstat &lt;domain&gt;	Command line network utility that displays network connections for Transmission Control Protocol, routing tables, and network interface + Protocol statistics	
nmap	Free &amp; open source Utility for network discovery &amp; security auditing<div>Discover hosts and services on a computer network by sending packets and analyzing the response<br><div>Includes host discovery and service and operating system detection</div></div>	
nslookup	Network administration command line tool for querying the domain name system to obtain the mapping between the domain name and IP address, or other DNS records	
SMTP	<div>Simple mail transfer Protocol</div>Internet standard communication Protocol for electronic Mail transmission<div>Mail servers and other message transfer agents use SMTP to send and receive email</div>	
lsof -i-sTCP:LISTEN	List open files; show me everything being currently accessed on the computer<div>Show me all TCP currently being accessed</div>	
Vulnerability classification	Impact - denial of service, code execution<div>Attack surface - local, remote</div><div>“No-interaction remote code execution” is the holy grail of hacking</div>	
dnsrecon (-r)	Standard tool for sniffing ip addresses from dns address (can also work in reverse)	
Types of state actors	"<img src=""Screen Shot 2022-10-30 at 7.56.00 PM.png"">1. Super powers<div>– large, well funded professional organizations</div><div>Dash full spectrum operations including HUMINT</div><div>– advanced, self driving malware with zero – day</div><div>– careful operational security</div><div>Examples: five eyes - US, UK, AUS, CAN, NZ</div><div>Peoples Republic of China (APT 1, APT 17)</div><div>– Russian federation (APT 28, APT 29)</div><div>-Israel (unit 8200)</div><div>-France, Germany, Netherlands&nbsp;</div><div><br></div><div>2. Rapid risers</div><div>Investment &amp; foreign aid Allow them to level some playing fields</div><div>0-day, often new malware, learn quickly from superpowers</div><div>Examples:</div><div>Iranian revolutionary guard corps</div><div>North Korea (Lazarus group)</div><div>Vietnam, South Korea</div><div><br></div><div>3. Peloton</div><div>Cyber capabilities seem as part of national power</div><div>Small, skilled, dependent teams will mobilize for the right investment</div><div>India, Pakistan, Saudi Arabia, Brazil, Turkey</div><div><br></div><div>4. Ambitious buyers</div><div>Purchasing software and often operations, limited in house, likely domestic use of cyber</div><div>Mexico, Ethiopia, UAE</div>"	
Zero-Day Exploit	"<div>&nbsp;<a href=""https://www.trendmicro.com/vinfo/us/security/definition/vulnerability"">vulnerability </a>in  a system or device that has been disclosed but is not yet patched. An  exploit that attacks a zero-day vulnerability is called a zero-day  exploit.</div> <div>Because they were discovered before security researchers and software  developers became aware of them—and before they can issue a  patch—zero-day vulnerabilities pose a higher risk to users for the  following reasons:</div> <ul> <li>Cybercriminals race to exploit these vulnerabilities to cash in on their schemes</li> <li>Vulnerable systems are exposed until a patch is issued by the vendor.</li> </ul> Zero-day vulnerabilities are typically involved in targeted attacks; however, many campaigns still use old vulnerabilities.<br>"	
ISO 27001	Information security management standards<br>can be turned into legal requirement by law or contract	
Cyber Risk insurance	Lower premiums, claim coverage or exclusion <br>→ induce insureds to make improvements to <br>their cybersecurity<br>■ Cyber insurers are currently under severe <br>strain due to massive losses from <br>ransomware claim payouts	
Federal Laws: 3 main with 4 letters each	CFAA, DMCA, ECPA<br>● Wire fraud (which you read); ID fraud, ID theft, “access device” fraud	
3 main Sources of Federal &amp; State Law	● International: treaties &amp; executive agreements<br>○ Example: Budapest Convention on Cybercrime<br>● “Statutory law”: Legislative branch<br>○ Statutes enacted by the legislature<br>● “Administrative law”: Executive branch<br>○ Agency rules (aka regulations)<br>■ In addition to rules, look at orders in agency’s cases, other guidance docs<br>○ Executive orders (President or state governor)<br>● “Case law”: Judicial branch<br>○ Judicial opinions<br>■ Court levels: trial (lowest), appeals (intermediate), supreme (highest)<br>■ “Binding” versus “persuasive” precedent	
US Code Hierarchy	Title, Part, Chapter, Section	
CFAA Text	Whoever, having devised or intending to devise any scheme or artifice to defraud, or for <br>obtaining money or property by means of false or fraudulent pretenses, representations, or <br>promises, transmits or causes to be transmitted by means of wire, radio, or television <br>communication in interstate or foreign commerce, any writings, signs, signals, pictures, or <br>sounds for the purpose of executing such scheme or artifice, shall be fined under this title or <br>imprisoned not more than 20 years, or both. If the violation [relates to federal <br>disaster/emergency relief], or affects a financial institution, such person shall be fined not <br>more than $1,000,000 or imprisoned not more than 30 years, or both.<br><br>(1) You have a scheme to defraud somebody, and <br>(2) you use the internet, TV, radio, or an interstate phone call in furtherance of that scheme.&nbsp;	
2 protocols spoken by internet connected networks	Internet Protocol, Border Gateway Protocol	
CFAA Subsections	<ul><li>○ (a) 7+ prohibitions (specifying what conduct is illegal)</li><ul><li>-------● (a)(1): Espionage — trespass + taking classified/restricted info </li><li>from fed govt computers</li><li>● (a)(2): Trespass + obtaining info from 3 sources: </li><li>&nbsp; &nbsp; ○ (A) financial/banking/credit institutions   (Equifax, Capital One)</li><li>&nbsp; &nbsp; ○ (B) federal government   (OPM, SolarWinds)</li><li>&nbsp; &nbsp; ○ (C) “any protected computer”   (pick your fave hack)</li><li>● (a)(3): Trespass on federal govt computer systems</li><li>● (a)(4): Fraud schemes facilitated by the computer access</li><li>● (a)(5): Causing damage</li><ul><li>A. Whoever ... knowingly causes the transmission of a program, information, code, or command, and as a result of such conduct, intentionally causes damage without authorization, to a protected computer</li></ul><li>● (A) knowingly causes the transmission of a program, information, code, or command, and as a result of such conduct, intentionally causes damage without authorization, to a protected computer;</li><li>● (B) intentionally accesses a protected computer without authorization, and as a result of such conduct, recklessly causes damage; or</li><li>● (C) intentionally accesses a protected computer without authorization, and as a result of such conduct, causes damage and loss.</li><li><br></li><li>● (a)(6): Password trafficking </li><li>● (a)(7): Extortion involving a computer/data (ransomware)</li><ul><li>c. Whoever ... with intent to extort from any person any money or other thing of value, transmits in interstate or foreign commerce any communication containing any ... demand or request for money or other thing of value in relation to damage to a protected computer, where such damage was caused to facilitate the extortion</li></ul></ul><li>○ (b) Attempt and conspiracy</li><li>○ (c) Sentences for criminal violations</li><li>○ (d) Investigatory authority for Secret Service &amp; FBI</li><li>○ (e) Definitions</li><ul><li>&nbsp; &nbsp; ● (A): financial or federal government computer</li><li>● (B): computer “used in or affecting  interstate </li><li>or foreign commerce or communication”</li><li>● (C): computer that “is part of a voting system” </li><li>(any internet-connected </li><li>computer)</li><li>(“air-gapped” voting machines)</li><li>the term “damage” means any impairment to the integrity or availability of data, a program, a system, or information;<br></li><li>● the term “loss” means any reasonable cost to any victim, including the cost of responding to an offense, conducting a damage assessment, and restoring the data, program, system, or information to its condition prior to the offense, and any revenue lost, cost incurred, or other consequential damages incurred because of interruption of service<br></li></ul><li>○ (f) Exemption for law enforcement &amp; intelligence activities</li><li>○ (g) Private right of action; negligence exemption</li><ul><li>■ Victims who’ve suffered “damage” or “loss” can sue attacker; </li><li>2-year statute of limitations</li><li>■ Can’t sue for negligent design or manufacture of computer </li><li>hardware/software/firmware</li></ul><li>○ (h) Reporting to Congress (now expired)</li><li>○ (i) &amp; (j) Forfeiture provisions</li></ul>	
Anticompetitive CFAA precedent	● Departing employees who start competing businesses<br>○ Civil lawsuits in 4th &amp; 6th Circuits; criminal prosecution in 9th Circuit<br>● Companies that access plaintiff’s data to build a competing product<br>○ hiQ v. LinkedIn (9th Cir. 2022):<br>■ Accessing publicly-available data isn’t a CFAA violation<br>■ But, could violate CFAA if you circumvent a technological access barrier <br>(e.g. password authentication)<br>○ Web scraping is a hot topic: legality still unsettled, so still carries legal risk<br>● But other laws provide a remedy anyway!<br>○ Intellectual property: trade secrets, ™ , ©<br>○ Breach of contract (employment agreement, TOS)<br>■ Example: Twitch’s lawsuit against users for “hate raids”<br>○ Breach of privacy (scraping people’s personal data)	
Drew, Nosal, Van Buren, TOS, CFAA	U.S. v. Drew (C.D. Cal. 2009)<br>○ Making a fake social media account isn’t “access <br>without authorization”<br>● U.S. v. Nosal (9th Cir. 2012) (en banc)<br>○ Violating employer’s computer-use policy isn’t <br>“exceeding authorized access” <br>● Van Buren v. United States (2021)<br>○ “Exceeds authorized access” = unlawful access <br>to info, not misuse of info you’re allowed to access<br>○ If screwing around on your work computer is a <br>CFAA violation, then we’re all criminals	
Vuln Classification	Impact x Attack Surface<br>● Impact<br>○ Denial of Service<br>○ Code Execution<br>● Attack Surface<br>○ Local<br>○ Remote<br>● Interaction Required?<br>“No-Interaction Remote Code <br>Execution” is often the holy grails	
DMCA Structure	§ 1201. Circumvention of copyright <br>protection systems<br>§ 1202. Integrity of copyright management <br>information<br>§ 1203. Civil remedies<br>§ 1204. Criminal offenses and penalties<br>(first offense: up to $500K fine + 5 years in prison;<br>subsequent offense: up to $1M + 10 years)<br>§ 1205. Savings clause<br><br>Summary of §§ 1201(a)-(b)<br>30<br>● You may not circumvent technological access controls.<br>● You may not distribute tools to let other people do so.<br>● You may circumvent technological copy controls.<br>● But you may not distribute tools to let other people do so.<br><br>● Prohibitions<br>○ Acts of circumvention – § 1201(a)(1) - bans circumventing access controls on copyrighted works<br>-no descrambling scrambled work, decrypting encrypted work<br>DOES NOT PROHIBIT circumventing copy controls<br>○ Trafficking in circumvention tools – § 1201(a)(2), § 1201(b)(1)<br>which could circumvent either an access-control or copy-control tpm<br>● Permanent exemptions<br>● You may not circumvent technological access controls.<br>● You may not distribute tools to let other people do so.<br>● You may circumvent technological copy controls.<br>● But you may not distribute tools to let other people do so.<br>○ Reverse engineering for <br>interoperability – § 1201(f)<br>○ Security testing – § 1201(j)<br>● § 1201(d): Nonprofit libraries, archives, &amp; educational institutions <br>● § 1201(e): Law enforcement<br>● § 1201(f): Reverse engineering for interoperability<br>● § 1201(g): Encryption research<br>● § 1201(h): Exceptions regarding minors<br>● § 1201(i): Protection of Personally Identifying Info<br>● § 1201(j): Security testing exemption<br><br>“Technological protection measure” (TPM): <br>The thing that gets circumvented.<br>“Circumvention technology”:<br>The thing that does the circumventing.	
Technological Protection Measures (TPMs)	● Digital Rights Management (DRM)<br>○ Region codes for DVDs<br>○ Encryption for HD DVD &amp; Blu-ray that controls playback<br>○ Copy-protection on movies &amp; games<br>● Other things beyond DRM<br>○ Chip/software authentication handshakes<br>○ “Secret handshake” authentication sequence <br>between game software &amp; the gaming server	
CFAA vs DMCA	"<img src=""Screen Shot 2022-10-30 at 8.35.35 PM.png"">"	
DMCA §1201 Lawsuits over years	● 1201(a)(1) - circumventing an access control: <br>○ Ripping Blu-rays by removing encryption (2016-19) <br>● 1201(a)(2) - tool to circumvent access control:<br>○ Hosting Blizzard gaming server emulator (2004-05)<br>● 1201(b) - tool to circumvent copy control: <br>○ Selling “mod chips” to defeat copy-protection on <br>PlayStation games (2006)<br>● All three:<br>○ Jailbreaking PS3 &amp; posting its private keys (2011)<br>	
DMCA Interoperability Exemption Defense	"<img src=""Screen Shot 2022-10-30 at 8.37.31 PM.png"">"	
DMCA Security Testing Exemption	"<img src=""Screen Shot 2022-10-30 at 8.37.58 PM.png"">&nbsp;"	
Glue Protocols - DNS, ARP, DHCP	Domain Name Service, Address Resolution Protocol, Dynamic Host Configuration Protocol	
ECPA Structure&nbsp;	"Wiretap Act (Title 1) - 18 U.S.C. § 2511<br>Prohibits intentionally:<br>○ Intercepting wire/oral/electronic communications<br>○ Using a device to intercept oral communications<br>○ {Disclosure, use} of contents of wire/oral/electronic communication <br>that you (have reason to) know was illegally intercepted<br><br>""Readily accessible to general public"" Exception:<br>§ 2511(2)(g)(i): <br>OK to intercept an electronic communication that’s made through a system “that <br>is configured so that such electronic communication is readily accessible to the <br>general public”<br>→ OK, so what do those terms mean?<br>§ 2510(16): “readily accessible to the general public” defined only “with respect to <br>a radio communication”<br>§ 2510(12): “electronic communication” not limited to radio transmissions"	
ECPA vs SCA	● Wiretap Act = accessing contents of comms in transit<br>● SCA = accessing comms in electronic storage at a third-party facility<br>● Acquiring a comm while it’s in momentary, “transient” storage during <br>its transmission to its destination = Wiretap, not SCA<br>● Examples:<br>○ Software that secretly copies &amp; forwards emails as they’re being routed <br>through a server en route to the recipient → Wiretap<br>○ Using someone else’s login credentials to read their emails through <br>Microsoft Exchange (without their knowledge or permission) → SCA<br>● Exactly how contemporaneous the acquisition is can get complicated&nbsp;	
In re Google Inc. Cookie <br>Placement Consumer Privacy <br>Litigation (3d Cir. 2015)	● Plaintiffs alleged that Google<br>○ circumvented their browsers’ cookie-blockers to set unwanted cookies<br>○ intercepted their GET requests to first-party webpages<br>○ and thereby acquired &amp; tracked the URLs they visited<br>● Holds that URLs can sometimes be “contents” of a communication<br>○ URLs can serve merely a routing function (→ not content), <br>or also convey substantive info (→ content)<br>○ Is a particular URL “content”? Depends what role the URL played in the <br>“intercepted” communication <br>● Previous example: Ninth Circuit case involving Zynga<br><br>the contentful part of the url is the query, the content specifier after the routing information<br><br>● Does it violate the Wiretap Act to intercept GET requests that contain queried URL “contents”?<br>● Third Circuit’s holding: No<br>● Party exception applies:<br>○ First-party page told browser to send GET requests directly to Google<br>○ Google was thus the “intended recipient” of those GET requests <br>● Crime/tort “exception to the exception” didn’t apply	
IPv4 vs IPv6	"<img src=""IPv4-vs-IPv6.png"">"	
Border Gateway Protocol (BGP)	Postal service of the internet - determines routing, data travel, movement between autonomous systems<br><br>Autonomous Systems typically belong to ISPs or tech companies, universities, agencies, institutions<br><br>each AS wishing to exchange routing infor must have a registered autonomous system number (ISN), assigned by the interne Assigned Numbers Authority (IANA)	
Address Resolution Protocol (ARP)	procedure connecting a mutable IP (Internet Protocol) address to a fixed MAC (Media Access Control) address once a computer joins a LAN (Local Area Network)<br><br>ARP translates a 32bit IPv4 address to a 48bit MAC address<br><br>Mac address also known as Data Link Layer	
Spear Phishing	<div>the  fraudulent practice of sending emails ostensibly from a known or trusted  sender in order to induce targeted individuals to reveal confidential  information.</div>	
essential elements of Wire fraud	"<em>United States v. Maxwell</em>, 920 F.2d 1028, 1035 (D.C. Cir. 1990)  (""Wire fraud requires proof of (1) a scheme to defraud; and (2) the use  of an interstate wire communication to further the scheme."")."	
United States v. Morris (1991)	"was an appeal of the conviction of <a href=""https://en.wikipedia.org/wiki/Robert_Tappan_Morris"">Robert Tappan Morris</a> for creating and releasing the <a href=""https://en.wikipedia.org/wiki/Morris_worm"">Morris worm</a>, one of the first Internet-based <a href=""https://en.wikipedia.org/wiki/Computer_worm"">worms</a>. This case resulted in the first conviction under the <a href=""https://en.wikipedia.org/wiki/Computer_Fraud_and_Abuse_Act"">Computer Fraud and Abuse Act</a>.  In the process, the dispute clarified much of the language used in the  law, which had been heavily revised in a number of updates passed in the  years after its initial drafting. Also clarified was the concept of  ""unauthorized access,"" which is central in the United States' computer  security laws.<sup><a href=""https://en.wikipedia.org/wiki/United_States_v._Morris_(1991)#cite_note-usvmorris506-1"">[1]</a></sup> The decision was the first by a U.S. court to refer to ""the <a href=""https://en.wikipedia.org/wiki/Internet"">Internet</a>"",<sup><a href=""https://en.wikipedia.org/wiki/United_States_v._Morris_(1991)#cite_note-pathofinternetlaw-2"">[2]</a></sup> which it described simply as ""a national computer network.""<sup><a href=""https://en.wikipedia.org/wiki/United_States_v._Morris_(1991)#cite_note-usvmorris506-1"">[1]</a></sup>"	
